0.2359,0.4396,0.4333,0.3551,0.5715,0.4178,0.3925,0.5071,0.4482,0.7943,1.0000,0.4559,0.5976,0.2648,0.3438,0.4487,0.1782,0.1452,0.3664,0.2686,0.2705,0.2543,0.5347,0.4552,0.2809,0.3086,0.4799,0.4400,0.3584,0.3044
0.0980,0.1270,0.3127,0.3483,0.4125,0.4672,0.7919,0.2914,0.4915,0.6966,0.4559,1.0000,0.3052,0.3696,0.2550,0.2048,0.3029,0.4495,0.4278,0.4321,0.3625,0.4123,0.3138,0.1995,0.4450,0.5045,0.5125,0.4461,0.2321,0.1403
0.0116,0.2847,0.2361,0.1461,0.5580,0.1614,0.3127,0.4152,0.6972,0.4338,0.5976,0.3052,1.0000,0.3084,0.4731,0.4732,0.4660,0.2376,0.2282,0.3107,0.4252,0.4376,0.4156,0.3827,0.3252,0.2203,0.2771,0.2778,0.2298,0.1080
-0.0017,0.2955,0.3098,0.4621,0.1522,0.2044,0.5561,0.2566,0.4089,0.3653,0.2648,0.3696,0.3084,1.0000,0.3334,0.2913,0.4144,0.5476,0.4751,0.5834,0.5382,0.4979,0.4704,0.3092,0.6091,0.4257,0.2811,0.2835,0.2663,0.1246
0.0827,0.3473,0.3289,0.2268,0.4168,0.1169,0.3907,0.4210,0.3950,0.2942,0.3438,0.2550,0.4731,0.3334,1.0000,0.8546,0.4748,0.3837,0.3437,0.3651,0.5371,0.5175,0.4376,0.1832,0.5283,0.3021,0.2150,0.1829,0.2376,0.2246
0.1309,0.4189,0.2476,0.2397,0.3971,0.1311,0.2933,0.5166,0.3582,0.3266,0.4487,0.2048,0.4732,0.2913,0.8546,1.0000,0.4476,0.3375,0.3172,0.3561,0.5196,0.4691,0.4781,0.2386,0.4356,0.2737,0.1874,0.2967,0.1696,0.2362
-0.0716,0.0893,0.1135,0.1042,0.2387,-0.0425,0.4136,0.2266,0.5327,0.3059,0.1782,0.3029,0.4660,0.4144,0.4748,0.4476,1.0000,0.6462,0.4220,0.5008,0.7855,0.7497,0.2409,0.1113,0.6031,0.5147,0.0525,0.0439,-0.0735,-0.1174
0.0502,0.1405,0.4217,0.2599,0.1353,0.0251,0.6096,0.2341,0.4638,0.3527,0.1452,0.4495,0.2376,0.5476,0.3837,0.3375,0.6462,1.0000,0.6742,0.6364,0.7749,0.7488,0.2830,0.1320,0.7493,0.5384,0.0726,0.1572,-0.0071,0.0323
0.0277,0.2329,0.4840,0.3702,0.3414,0.1661,0.5103,0.2115,0.3685,0.4751,0.3664,0.4278,0.2282,0.4751,0.3437,0.3172,0.4220,0.6742,1.0000,0.4786,0.6475,0.5481,0.3103,0.2368,0.6755,0.4219,0.2346,0.1949,0.2005,0.2618
0.0009,0.2353,0.3184,0.2618,0.2889,0.0314,0.5195,0.3113,0.5501,0.4722,0.2686,0.4321,0.3107,0.5834,0.3651,0.3561,0.5008,0.6364,0.4786,1.0000,0.6153,0.6132,0.7156,0.3453,0.5884,0.4778,0.1213,0.2285,0.1113,0.0437
